normalized_product,total_lines,n_vat_rates,dominant_vat,dominant_vat_pct,vat_rates
synth maintenance 01150,9,1,9.00,100.0,9.00:9
synth service 00268,6,1,11.00,100.0,11.00:6
synth packaging 00648,47,3,5.00,93.62,5.00:44;19.00:2;11.00:1
synth packaging 00462,5,1,5.00,100.0,5.00:5
synth office 00006,11,2,19.00,90.91,19.00:10;21.00:1
synth service 00137,3,1,19.00,100.0,19.00:3
synth transport 01066,17,1,11.00,100.0,11.00:17
synth transport 00957,2,1,19.00,100.0,19.00:2
synth retail 00692,1,1,21.00,100.0,21.00:1
synth maintenance 00990,1,1,21.00,100.0,21.00:1
synth office 00884,1,1,11.00,100.0,11.00:1
synth utility 00842,1,1,11.00,100.0,11.00:1
synth service 00650,6,1,9.00,100.0,9.00:6
synth utility 01053,3,1,0.00,100.0,0.00:3
synth office 00356,9,1,11.00,100.0,11.00:9
synth fuel 00722,1,1,21.00,100.0,21.00:1
synth transport 00530,1,1,11.00,100.0,11.00:1
synth packaging 00486,1,1,0.00,100.0,0.00:1
synth transport 00038,3,1,11.00,100.0,11.00:3
synth maintenance 00257,48,4,11.00,91.67,11.00:44;21.00:2;5.00:1;9.00:1
synth utility 00845,1,1,9.00,100.0,9.00:1
synth maintenance 00328,5,1,5.00,100.0,5.00:5
synth office 00467,2,1,21.00,100.0,21.00:2
synth office 00880,3,1,0.00,100.0,0.00:3
synth office 00877,1,1,0.00,100.0,0.00:1
synth packaging 00221,2,2,5.00,50.0,5.00:1;9.00:1
synth office 00617,2,1,19.00,100.0,19.00:2
synth maintenance 00676,2,1,9.00,100.0,9.00:2
synth service 00266,2,1,19.00,100.0,19.00:2
synth transport 01070,1,1,9.00,100.0,9.00:1
synth raw material 00672,3,2,9.00,66.67,9.00:2;11.00:1
synth office 00475,4,2,5.00,75.0,5.00:3;11.00:1
synth maintenance 00686,2,1,9.00,100.0,9.00:2
synth utility 00921,1,1,0.00,100.0,0.00:1
synth fuel 01031,1,1,9.00,100.0,9.00:1
synth retail 00588,1,1,5.00,100.0,5.00:1
synth packaging 00235,4,1,19.00,100.0,19.00:4
synth utility 01193,1,1,9.00,100.0,9.00:1
synth raw material 00458,3,1,9.00,100.0,9.00:3
synth raw material 00195,2,1,9.00,100.0,9.00:2
synth transport 00754,1,1,21.00,100.0,21.00:1
synth fuel 00330,1,1,19.00,100.0,19.00:1
synth packaging 01146,1,1,19.00,100.0,19.00:1
synth retail 01020,1,1,11.00,100.0,11.00:1
synth transport 00704,1,1,0.00,100.0,0.00:1
synth packaging 00978,1,1,11.00,100.0,11.00:1
synth service 00306,1,1,5.00,100.0,5.00:1
synth utility 00712,13,1,11.00,100.0,11.00:13
synth packaging 00001,5,1,0.00,100.0,0.00:5
synth office 01054,11,2,21.00,90.91,21.00:10;19.00:1
synth packaging 00044,3,1,11.00,100.0,11.00:3
synth raw material 00110,13,4,21.00,76.92,21.00:10;19.00:1;11.00:1;5.00:1
synth service 01095,4,1,5.00,100.0,5.00:4
synth service 00653,2,1,5.00,100.0,5.00:2
synth packaging 00986,2,1,21.00,100.0,21.00:2
synth maintenance 01107,12,1,19.00,100.0,19.00:12
synth transport 00149,2,1,11.00,100.0,11.00:2
synth office 00574,6,2,0.00,83.33,0.00:5;9.00:1
synth service 00153,2,1,21.00,100.0,21.00:2
synth utility 01067,1,1,19.00,100.0,19.00:1
synth transport 00637,1,1,11.00,100.0,11.00:1
synth maintenance 00983,14,3,5.00,78.57,5.00:11;0.00:2;21.00:1
synth retail 00170,1,1,19.00,100.0,19.00:1
synth packaging 00556,1,1,9.00,100.0,9.00:1
synth packaging 00689,30,1,0.00,100.0,0.00:30
synth raw material 00105,4,1,9.00,100.0,9.00:4
synth utility 00641,6,1,0.00,100.0,0.00:6
synth service 00987,2,1,19.00,100.0,19.00:2
synth utility 00823,2,1,19.00,100.0,19.00:2
synth fuel 00999,3,1,11.00,100.0,11.00:3
synth office 01056,2,1,5.00,100.0,5.00:2
synth misc 00857,13,3,9.00,84.62,9.00:11;21.00:1;5.00:1
synth raw material 00104,8,1,19.00,100.0,19.00:8
synth maintenance 00507,22,3,0.00,90.91,0.00:20;5.00:1;11.00:1
synth service 00222,3,1,0.00,100.0,0.00:3
synth fuel 00733,1,1,5.00,100.0,5.00:1
synth packaging 00348,7,1,11.00,100.0,11.00:7
synth maintenance 00082,2,1,9.00,100.0,9.00:2
synth retail 00838,3,1,9.00,100.0,9.00:3
synth transport 00285,2,1,9.00,100.0,9.00:2
synth service 00142,2,1,9.00,100.0,9.00:2
synth packaging 00522,1,1,21.00,100.0,21.00:1
synth transport 00516,6,3,9.00,66.67,21.00:1;9.00:4;11.00:1
synth office 00308,3,1,0.00,100.0,0.00:3
synth transport 00199,3,1,0.00,100.0,0.00:3
synth maintenance 00093,1,1,0.00,100.0,0.00:1
synth misc 00242,1,1,5.00,100.0,5.00:1
synth misc 00730,1,1,0.00,100.0,0.00:1
synth raw material 00873,1,1,5.00,100.0,5.00:1
synth fuel 00139,2,1,11.00,100.0,11.00:2
synth packaging 00178,1,1,5.00,100.0,5.00:1
synth utility 00083,1,1,0.00,100.0,0.00:1
synth office 01014,2,1,11.00,100.0,11.00:2
synth raw material 00025,3,1,21.00,100.0,21.00:3
synth retail 00940,10,3,21.00,80.0,21.00:8;5.00:1;0.00:1
synth packaging 00501,2,1,5.00,100.0,5.00:2
synth service 00358,1,1,0.00,100.0,0.00:1
synth office 00894,7,2,11.00,85.71,11.00:6;0.00:1
synth retail 00519,5,1,21.00,100.0,21.00:5
synth packaging 00483,1,1,11.00,100.0,11.00:1
synth office 00624,1,1,19.00,100.0,19.00:1
synth raw material 01005,2,2,19.00,50.0,19.00:1;5.00:1
synth fuel 00465,5,2,9.00,80.0,9.00:4;19.00:1
synth raw material 00923,1,1,0.00,100.0,0.00:1
synth maintenance 00141,2,1,11.00,100.0,11.00:2
synth service 00714,1,1,0.00,100.0,0.00:1
synth packaging 00628,3,1,5.00,100.0,5.00:3
synth maintenance 00086,46,4,19.00,91.3,19.00:42;21.00:1;9.00:1;11.00:2
synth utility 01185,1,1,11.00,100.0,11.00:1
synth transport 01009,7,1,21.00,100.0,21.00:7
synth maintenance 00065,9,2,0.00,88.89,0.00:8;19.00:1
synth service 00002,5,1,11.00,100.0,11.00:5
synth fuel 01183,5,2,5.00,80.0,5.00:4;21.00:1
synth raw material 00424,2,1,21.00,100.0,21.00:2
synth raw material 01100,3,1,21.00,100.0,21.00:3
synth utility 00008,4,1,21.00,100.0,21.00:4
synth office 00690,1,1,19.00,100.0,19.00:1
synth packaging 00376,4,1,9.00,100.0,9.00:4
synth packaging 00831,5,2,11.00,80.0,5.00:1;11.00:4
synth maintenance 00506,3,1,11.00,100.0,11.00:3
synth misc 00456,4,1,9.00,100.0,9.00:4
synth misc 00863,13,1,5.00,100.0,5.00:13
synth fuel 00013,5,1,0.00,100.0,0.00:5
synth packaging 01050,9,1,5.00,100.0,5.00:9
synth packaging 00367,2,1,21.00,100.0,21.00:2
synth maintenance 00695,4,2,5.00,75.0,5.00:3;0.00:1
synth maintenance 00347,2,1,5.00,100.0,5.00:2
synth utility 00671,4,3,5.00,50.0,11.00:1;5.00:2;21.00:1
synth fuel 00176,2,1,19.00,100.0,19.00:2
synth transport 00238,2,1,0.00,100.0,0.00:2
synth retail 00924,3,1,11.00,100.0,11.00:3
synth office 00289,1,1,5.00,100.0,5.00:1
synth office 00290,19,1,0.00,100.0,0.00:19
synth packaging 00674,6,1,19.00,100.0,19.00:6
synth utility 00455,11,2,5.00,90.91,5.00:10;21.00:1
synth fuel 00219,7,1,5.00,100.0,5.00:7
synth utility 00631,3,1,11.00,100.0,11.00:3
synth raw material 00915,1,1,19.00,100.0,19.00:1
synth service 01138,14,2,0.00,92.86,0.00:13;5.00:1
synth retail 00813,2,1,19.00,100.0,19.00:2
synth misc 00395,1,1,21.00,100.0,21.00:1
synth retail 01160,4,1,21.00,100.0,21.00:4
synth service 01112,9,1,9.00,100.0,9.00:9
synth fuel 00989,1,1,19.00,100.0,19.00:1
synth misc 00600,5,3,5.00,60.0,9.00:1;5.00:3;0.00:1
synth utility 00256,2,1,11.00,100.0,11.00:2
synth office 00102,1,1,21.00,100.0,21.00:1
synth utility 00489,4,1,21.00,100.0,21.00:4
synth transport 00411,1,1,11.00,100.0,11.00:1
synth office 00972,1,1,11.00,100.0,11.00:1
synth misc 01187,1,1,0.00,100.0,0.00:1
synth utility 00383,22,2,9.00,95.45,9.00:21;5.00:1
synth raw material 00188,24,3,19.00,91.67,19.00:22;11.00:1;21.00:1
synth maintenance 00870,13,3,5.00,84.62,5.00:11;21.00:1;19.00:1
synth misc 01104,13,1,21.00,100.0,21.00:13
synth maintenance 00521,4,1,19.00,100.0,19.00:4
synth retail 00720,4,1,19.00,100.0,19.00:4
synth transport 00230,2,1,11.00,100.0,11.00:2
synth fuel 00277,4,2,0.00,75.0,0.00:3;9.00:1
synth transport 01149,4,2,19.00,75.0,19.00:3;11.00:1
synth maintenance 01154,10,2,11.00,90.0,11.00:9;5.00:1
synth misc 00681,7,1,0.00,100.0,0.00:7
synth raw material 00245,3,1,9.00,100.0,9.00:3
synth misc 00584,8,1,5.00,100.0,5.00:8
synth utility 00553,2,1,11.00,100.0,11.00:2
synth service 00034,1,1,11.00,100.0,11.00:1
synth office 00673,1,1,19.00,100.0,19.00:1
synth raw material 00446,6,1,21.00,100.0,21.00:6
synth retail 00012,2,1,21.00,100.0,21.00:2
synth office 00532,2,1,9.00,100.0,9.00:2
synth fuel 00240,1,1,9.00,100.0,9.00:1
synth transport 00901,11,1,9.00,100.0,9.00:11
synth packaging 00976,1,1,0.00,100.0,0.00:1
synth office 00066,2,1,0.00,100.0,0.00:2
synth misc 00941,8,2,11.00,87.5,21.00:1;11.00:7
synth packaging 00040,17,4,11.00,82.35,11.00:14;19.00:1;5.00:1;0.00:1
synth transport 00097,2,1,0.00,100.0,0.00:2
synth raw material 01001,2,1,19.00,100.0,19.00:2
synth maintenance 00550,2,1,5.00,100.0,5.00:2
synth utility 01036,4,2,21.00,75.0,19.00:1;21.00:3
synth service 00388,1,1,0.00,100.0,0.00:1
synth transport 01170,1,1,19.00,100.0,19.00:1
synth packaging 00258,4,1,11.00,100.0,11.00:4
synth packaging 00711,21,2,9.00,95.24,9.00:20;11.00:1
synth transport 00059,6,2,5.00,66.67,9.00:2;5.00:4
synth utility 00563,19,1,19.00,100.0,19.00:19
synth retail 00611,6,1,19.00,100.0,19.00:6
synth utility 01177,19,2,9.00,94.74,9.00:18;19.00:1
synth service 00418,6,2,21.00,83.33,21.00:5;0.00:1
synth misc 00179,4,2,11.00,75.0,5.00:1;11.00:3
synth packaging 00518,10,2,19.00,90.0,19.00:9;21.00:1
synth utility 00166,21,2,5.00,95.24,5.00:20;21.00:1
synth misc 00693,1,1,21.00,100.0,21.00:1
synth fuel 00634,1,1,0.00,100.0,0.00:1
synth fuel 00897,1,1,0.00,100.0,0.00:1
synth raw material 00582,2,1,11.00,100.0,11.00:2
synth service 00949,1,1,9.00,100.0,9.00:1
synth transport 00152,1,1,19.00,100.0,19.00:1
synth raw material 00988,1,1,9.00,100.0,9.00:1
synth office 01043,1,1,19.00,100.0,19.00:1
synth misc 00236,9,2,21.00,88.89,21.00:8;19.00:1
synth raw material 00903,2,1,0.00,100.0,0.00:2
synth packaging 00887,2,1,21.00,100.0,21.00:2
synth raw material 00403,4,1,19.00,100.0,19.00:4
synth misc 00113,5,1,21.00,100.0,21.00:5
synth office 00121,1,1,11.00,100.0,11.00:1
synth office 00184,2,1,11.00,100.0,11.00:2
synth raw material 00827,1,1,19.00,100.0,19.00:1
synth misc 00088,1,1,11.00,100.0,11.00:1
synth office 00156,1,1,11.00,100.0,11.00:1
synth retail 00078,3,1,11.00,100.0,11.00:3
synth retail 00526,12,1,19.00,100.0,19.00:12
synth misc 00936,1,1,0.00,100.0,0.00:1
synth fuel 00426,3,1,11.00,100.0,11.00:3
synth maintenance 00828,3,1,21.00,100.0,21.00:3
synth raw material 00536,1,1,11.00,100.0,11.00:1
synth packaging 00459,1,1,9.00,100.0,9.00:1
synth misc 00751,1,1,19.00,100.0,19.00:1
synth retail 01078,1,1,9.00,100.0,9.00:1
synth fuel 00557,2,1,19.00,100.0,19.00:2
synth raw material 01064,1,1,19.00,100.0,19.00:1
synth utility 01119,7,1,5.00,100.0,5.00:7
synth misc 00298,1,1,19.00,100.0,19.00:1
synth misc 00106,1,1,0.00,100.0,0.00:1
synth fuel 00992,2,1,9.00,100.0,9.00:2
synth retail 00431,1,1,5.00,100.0,5.00:1
synth service 00015,1,1,21.00,100.0,21.00:1
synth fuel 00514,1,1,9.00,100.0,9.00:1
synth office 00020,1,1,5.00,100.0,5.00:1
synth service 00394,1,1,9.00,100.0,9.00:1
synth service 00575,1,1,5.00,100.0,5.00:1
synth maintenance 00562,3,1,21.00,100.0,21.00:3
synth packaging 00419,14,1,9.00,100.0,9.00:14
synth utility 00786,9,1,21.00,100.0,21.00:9
synth office 00440,12,2,21.00,83.33,5.00:2;21.00:10
synth office 00687,24,3,0.00,91.67,0.00:22;19.00:1;11.00:1
synth office 01065,10,2,19.00,90.0,11.00:1;19.00:9
synth raw material 00586,29,2,19.00,96.55,19.00:28;11.00:1
synth retail 00041,4,2,5.00,75.0,9.00:1;5.00:3
synth raw material 00071,12,1,0.00,100.0,0.00:12
synth packaging 00958,5,1,9.00,100.0,9.00:5
synth service 01068,2,1,21.00,100.0,21.00:2
synth utility 00218,5,1,11.00,100.0,11.00:5
synth utility 01125,3,1,5.00,100.0,5.00:3
synth fuel 01153,5,1,21.00,100.0,21.00:5
synth retail 00387,4,1,5.00,100.0,5.00:4
synth maintenance 00496,1,1,11.00,100.0,11.00:1
synth service 00942,72,4,5.00,95.83,5.00:69;9.00:1;21.00:1;19.00:1
synth misc 00665,1,1,21.00,100.0,21.00:1
synth office 00422,3,1,9.00,100.0,9.00:3
synth utility 01137,47,4,9.00,91.49,9.00:43;5.00:1;11.00:2;19.00:1
synth transport 00175,11,1,9.00,100.0,9.00:11
synth fuel 00621,14,1,21.00,100.0,21.00:14
synth maintenance 00938,16,2,11.00,93.75,5.00:1;11.00:15
synth raw material 00848,46,5,0.00,86.96,21.00:3;0.00:40;9.00:1;11.00:1;19.00:1
synth maintenance 00608,6,2,21.00,83.33,21.00:5;5.00:1
synth service 00224,5,1,21.00,100.0,21.00:5
synth packaging 01117,5,1,0.00,100.0,0.00:5
synth retail 00318,1,1,9.00,100.0,9.00:1
synth raw material 00925,4,1,11.00,100.0,11.00:4
synth fuel 01017,3,2,9.00,66.67,0.00:1;9.00:2
synth maintenance 00223,2,1,11.00,100.0,11.00:2
synth misc 00103,1,1,5.00,100.0,5.00:1
synth office 00155,8,1,9.00,100.0,9.00:8
synth maintenance 00639,3,1,19.00,100.0,19.00:3
synth maintenance 00373,3,1,5.00,100.0,5.00:3
synth utility 00310,2,2,5.00,50.0,5.00:1;21.00:1
synth service 00797,2,1,0.00,100.0,0.00:2
synth service 00370,1,1,9.00,100.0,9.00:1
synth packaging 01063,1,1,9.00,100.0,9.00:1
synth fuel 00544,1,1,0.00,100.0,0.00:1
synth packaging 00442,1,1,11.00,100.0,11.00:1
synth office 00718,1,1,9.00,100.0,9.00:1
synth fuel 00203,1,1,5.00,100.0,5.00:1
synth utility 01120,1,1,21.00,100.0,21.00:1
synth utility 00709,1,1,11.00,100.0,11.00:1
synth packaging 00324,1,1,5.00,100.0,5.00:1
synth maintenance 00576,2,1,19.00,100.0,19.00:2
synth retail 00626,4,1,5.00,100.0,5.00:4
synth fuel 00375,1,1,5.00,100.0,5.00:1
synth fuel 01108,2,2,5.00,50.0,5.00:1;19.00:1
synth service 00836,1,1,21.00,100.0,21.00:1
synth retail 00466,2,1,0.00,100.0,0.00:2
synth retail 00917,10,1,0.00,100.0,0.00:10
synth fuel 00415,4,1,0.00,100.0,0.00:4
synth retail 00081,1,1,0.00,100.0,0.00:1
synth maintenance 00662,1,1,5.00,100.0,5.00:1
synth transport 00095,4,1,0.00,100.0,0.00:4
synth retail 00250,2,1,19.00,100.0,19.00:2
synth retail 00213,3,1,11.00,100.0,11.00:3
synth retail 00200,1,1,11.00,100.0,11.00:1
synth maintenance 00578,1,1,11.00,100.0,11.00:1
synth office 00067,1,1,5.00,100.0,5.00:1
synth retail 01176,4,1,9.00,100.0,9.00:4
synth service 00998,1,1,19.00,100.0,19.00:1
synth transport 00967,2,1,21.00,100.0,21.00:2
synth fuel 00249,1,1,5.00,100.0,5.00:1
synth retail 00683,1,1,9.00,100.0,9.00:1
synth transport 01094,3,1,19.00,100.0,19.00:3
synth utility 01098,1,1,19.00,100.0,19.00:1
synth fuel 00270,1,1,9.00,100.0,9.00:1
synth packaging 01025,6,1,19.00,100.0,19.00:6
synth office 00026,5,1,0.00,100.0,0.00:5
synth office 00779,2,1,9.00,100.0,9.00:2
synth retail 00979,6,1,5.00,100.0,5.00:6
synth raw material 00436,2,1,5.00,100.0,5.00:2
synth maintenance 00866,2,1,9.00,100.0,9.00:2
synth retail 00890,1,1,5.00,100.0,5.00:1
synth utility 01037,1,1,11.00,100.0,11.00:1
synth fuel 00261,3,1,11.00,100.0,11.00:3
synth maintenance 00951,1,1,0.00,100.0,0.00:1
synth maintenance 00151,4,1,0.00,100.0,0.00:4
synth transport 00443,3,1,11.00,100.0,11.00:3
synth misc 00572,9,1,19.00,100.0,19.00:9
synth packaging 00309,3,1,0.00,100.0,0.00:3
synth utility 00669,7,1,11.00,100.0,11.00:7
synth transport 00485,1,1,0.00,100.0,0.00:1
synth raw material 00910,2,1,21.00,100.0,21.00:2
synth misc 00780,10,1,11.00,100.0,11.00:10
synth service 00312,2,1,0.00,100.0,0.00:2
synth maintenance 01163,2,1,19.00,100.0,19.00:2
synth misc 00765,1,1,19.00,100.0,19.00:1
synth misc 00993,3,2,0.00,66.67,0.00:2;5.00:1
synth fuel 00716,19,2,21.00,94.74,21.00:18;11.00:1
synth office 00127,5,1,21.00,100.0,21.00:5
synth misc 00264,5,1,0.00,100.0,0.00:5
synth retail 00331,3,2,21.00,66.67,19.00:1;21.00:2
synth packaging 00468,5,1,19.00,100.0,19.00:5
synth transport 00297,2,1,5.00,100.0,5.00:2
synth raw material 01089,2,1,5.00,100.0,5.00:2
synth fuel 00566,3,1,11.00,100.0,11.00:3
synth raw material 01007,2,1,0.00,100.0,0.00:2
synth utility 00580,1,1,5.00,100.0,5.00:1
synth office 00996,2,2,5.00,50.0,5.00:1;21.00:1
synth packaging 01145,1,1,11.00,100.0,11.00:1
synth fuel 00382,3,1,0.00,100.0,0.00:3
synth office 00050,3,1,21.00,100.0,21.00:3
synth office 01091,39,5,9.00,89.74,9.00:35;0.00:1;5.00:1;21.00:1;11.00:1
synth raw material 00351,6,1,9.00,100.0,9.00:6
synth misc 00876,9,2,21.00,88.89,21.00:8;5.00:1
synth retail 00630,10,1,11.00,100.0,11.00:10
synth misc 00311,9,1,19.00,100.0,19.00:9
synth service 00768,8,2,11.00,87.5,11.00:7;5.00:1
synth packaging 00335,4,2,5.00,75.0,5.00:3;9.00:1
synth misc 00208,8,2,19.00,87.5,19.00:7;21.00:1
synth retail 00735,5,1,19.00,100.0,19.00:5
synth utility 00036,2,1,19.00,100.0,19.00:2
synth misc 00700,6,1,21.00,100.0,21.00:6
synth maintenance 00115,2,1,9.00,100.0,9.00:2
synth packaging 00243,4,1,5.00,100.0,5.00:4
synth utility 00340,2,1,0.00,100.0,0.00:2
synth transport 00627,1,1,21.00,100.0,21.00:1
synth utility 00275,1,1,9.00,100.0,9.00:1
synth retail 00647,2,1,19.00,100.0,19.00:2
synth raw material 01039,1,1,11.00,100.0,11.00:1
synth maintenance 00205,2,1,0.00,100.0,0.00:2
synth fuel 00667,1,1,19.00,100.0,19.00:1
synth raw material 00984,1,1,0.00,100.0,0.00:1
