normalized_product,total_occurrences,n_accounts,dominant_account_id,dominant_account_desc,dominant_pct,determinism_score,ambiguity_score,all_accounts
synth maintenance 00158,2,2,601,,50.0,0.5,0.5,601:1;608:1
synth packaging 00790,12,2,401,,66.67,0.6667,0.3333,401:8;6022:4
synth utility 00145,4,3,635,,50.0,0.5,0.5,635:2;613:1;371:1
synth utility 00293,2,1,635,,100.0,1.0,0.0,635:2
synth packaging 00905,5,1,635,,100.0,1.0,0.0,635:5
synth utility 00423,2,1,701,,100.0,1.0,0.0,701:2
synth service 00520,2,1,612,,100.0,1.0,0.0,612:2
synth office 00147,1,1,4427,,100.0,1.0,0.0,4427:1
synth fuel 00564,1,1,608,,100.0,1.0,0.0,608:1
synth maintenance 01018,1,1,4427,,100.0,1.0,0.0,4427:1
synth fuel 00461,1,1,605,,100.0,1.0,0.0,605:1
synth maintenance 01084,5,2,607,,80.0,0.8,0.2,607:4;602:1
synth packaging 00781,1,1,622,,100.0,1.0,0.0,622:1
synth raw material 00721,1,1,602,,100.0,1.0,0.0,602:1
synth transport 00960,6,1,602,,100.0,1.0,0.0,602:6
synth utility 00943,32,3,6022,,56.25,0.5625,0.4375,6022:18;6022:12;4426:2
synth utility 00303,1,1,4427,,100.0,1.0,0.0,4427:1
synth service 00233,2,1,704,,100.0,1.0,0.0,704:2
synth office 00606,2,2,6022,,50.0,0.5,0.5,6022:1;601:1
synth office 00296,5,1,605,,100.0,1.0,0.0,605:5
synth misc 00826,8,1,4427,,100.0,1.0,0.0,4427:8
synth retail 00322,5,3,635,,40.0,0.4,0.6,635:2;613:2;635:1
synth transport 00727,1,1,625,,100.0,1.0,0.0,625:1
synth transport 00508,2,1,401,,100.0,1.0,0.0,401:2
synth fuel 00908,8,3,4427,,50.0,0.5,0.5,4427:4;4427:3;707:1
synth maintenance 00613,1,1,609,,100.0,1.0,0.0,609:1
synth misc 00143,3,1,371,,100.0,1.0,0.0,371:3
synth office 00922,9,1,635,,100.0,1.0,0.0,635:9
synth retail 00861,1,1,608,,100.0,1.0,0.0,608:1
synth transport 00832,1,1,601,,100.0,1.0,0.0,601:1
synth retail 00528,4,1,622,,100.0,1.0,0.0,622:4
synth packaging 00512,1,1,704,,100.0,1.0,0.0,704:1
synth maintenance 00323,1,1,612,,100.0,1.0,0.0,612:1
synth maintenance 00559,1,1,609,,100.0,1.0,0.0,609:1
synth packaging 00368,1,1,605,,100.0,1.0,0.0,605:1
synth retail 00138,6,1,601,,100.0,1.0,0.0,601:6
synth utility 00051,33,1,613,,100.0,1.0,0.0,613:33
synth fuel 01008,10,1,6022,,100.0,1.0,0.0,6022:10
synth retail 01044,8,1,4426,,100.0,1.0,0.0,4426:8
synth office 01086,4,1,704,,100.0,1.0,0.0,704:4
synth service 00248,8,1,602,,100.0,1.0,0.0,602:8
synth service 00180,7,1,612,,100.0,1.0,0.0,612:7
synth maintenance 00678,1,1,411,,100.0,1.0,0.0,411:1
synth raw material 00558,19,1,707,,100.0,1.0,0.0,707:19
synth office 00377,1,1,625,,100.0,1.0,0.0,625:1
synth misc 00319,3,1,371,,100.0,1.0,0.0,371:3
synth office 00313,1,1,701,,100.0,1.0,0.0,701:1
synth retail 00280,14,2,4427,,57.14,0.5714,0.4286,4427:8;4427:6
synth misc 00301,1,1,625,,100.0,1.0,0.0,625:1
synth office 01058,10,5,605,,50.0,0.5,0.5,605:5;605:2;601:1;605:1;601:1
synth packaging 00660,2,1,608,,100.0,1.0,0.0,608:2
synth service 00913,1,1,4427,,100.0,1.0,0.0,4427:1
synth fuel 00888,4,1,4427,,100.0,1.0,0.0,4427:4
synth office 01019,1,1,625,,100.0,1.0,0.0,625:1
synth service 00632,2,1,4426,,100.0,1.0,0.0,4426:2
synth retail 00610,1,1,411,,100.0,1.0,0.0,411:1
synth office 00169,1,1,371,,100.0,1.0,0.0,371:1
synth packaging 00734,8,1,401,,100.0,1.0,0.0,401:8
synth utility 00445,1,1,371,,100.0,1.0,0.0,371:1
synth maintenance 00385,1,1,371,,100.0,1.0,0.0,371:1
synth transport 00220,1,1,605,,100.0,1.0,0.0,605:1
synth raw material 00677,1,1,635,,100.0,1.0,0.0,635:1
synth retail 01000,1,1,601,,100.0,1.0,0.0,601:1
synth raw material 00321,8,1,625,,100.0,1.0,0.0,625:8
synth misc 00609,1,1,707,,100.0,1.0,0.0,707:1
synth transport 00302,2,1,704,,100.0,1.0,0.0,704:2
synth raw material 01059,3,1,4427,,100.0,1.0,0.0,4427:3
synth transport 00092,3,1,701,,100.0,1.0,0.0,701:3
synth maintenance 00820,5,1,608,,100.0,1.0,0.0,608:5
synth office 00796,1,1,628,,100.0,1.0,0.0,628:1
synth raw material 00618,2,1,613,,100.0,1.0,0.0,613:2
synth misc 00668,2,2,411,,50.0,0.5,0.5,411:1;704:1
synth utility 01076,2,2,601,,50.0,0.5,0.5,601:1;601:1
synth office 00552,2,1,609,,100.0,1.0,0.0,609:2
synth packaging 00160,1,1,704,,100.0,1.0,0.0,704:1
synth maintenance 00360,1,1,607,,100.0,1.0,0.0,607:1
synth service 00060,2,1,607,,100.0,1.0,0.0,607:2
synth utility 00801,2,2,612,,50.0,0.5,0.5,612:1;601:1
synth raw material 00513,5,2,635,,80.0,0.8,0.2,635:4;635:1
synth packaging 00254,1,1,612,,100.0,1.0,0.0,612:1
synth fuel 00007,1,1,613,,100.0,1.0,0.0,613:1
synth service 00802,28,1,401,,100.0,1.0,0.0,401:28
synth misc 00816,1,1,601,,100.0,1.0,0.0,601:1
synth utility 01135,1,1,601,,100.0,1.0,0.0,601:1
synth packaging 00783,1,1,607,,100.0,1.0,0.0,607:1
synth raw material 00482,3,1,707,,100.0,1.0,0.0,707:3
synth maintenance 00276,4,1,411,,100.0,1.0,0.0,411:4
synth raw material 00767,16,1,635,,100.0,1.0,0.0,635:16
synth raw material 00349,13,1,635,,100.0,1.0,0.0,635:13
synth office 00010,32,1,707,,100.0,1.0,0.0,707:32
synth service 00341,18,1,608,,100.0,1.0,0.0,608:18
synth misc 00181,7,1,601,,100.0,1.0,0.0,601:7
synth maintenance 01150,11,1,607,,100.0,1.0,0.0,607:11
synth service 00268,6,1,601,,100.0,1.0,0.0,601:6
synth packaging 00648,48,1,6022,,100.0,1.0,0.0,6022:48
synth packaging 00462,5,1,635,,100.0,1.0,0.0,635:5
synth office 00006,11,1,609,,100.0,1.0,0.0,609:11
synth service 00137,3,1,628,,100.0,1.0,0.0,628:3
synth transport 01066,18,1,608,,100.0,1.0,0.0,608:18
synth transport 00957,2,1,609,,100.0,1.0,0.0,609:2
synth retail 00692,1,1,707,,100.0,1.0,0.0,707:1
synth maintenance 00990,1,1,612,,100.0,1.0,0.0,612:1
synth office 00884,1,1,622,,100.0,1.0,0.0,622:1
synth utility 00842,1,1,4427,,100.0,1.0,0.0,4427:1
synth office 00356,10,1,707,,100.0,1.0,0.0,707:10
synth service 00650,6,1,707,,100.0,1.0,0.0,707:6
synth utility 01053,3,1,411,,100.0,1.0,0.0,411:3
synth fuel 00722,1,1,635,,100.0,1.0,0.0,635:1
synth transport 00530,1,1,609,,100.0,1.0,0.0,609:1
synth packaging 00486,1,1,635,,100.0,1.0,0.0,635:1
synth transport 00038,3,1,628,,100.0,1.0,0.0,628:3
synth maintenance 00257,54,3,701,,74.07,0.7407,0.2593,701:40;701:8;701:6
synth utility 00845,1,1,635,,100.0,1.0,0.0,635:1
synth maintenance 00328,5,1,371,,100.0,1.0,0.0,371:5
synth office 00467,2,1,628,,100.0,1.0,0.0,628:2
synth office 00880,3,1,612,,100.0,1.0,0.0,612:3
synth office 00877,1,1,371,,100.0,1.0,0.0,371:1
synth packaging 00221,2,1,625,,100.0,1.0,0.0,625:2
synth office 00617,2,1,701,,100.0,1.0,0.0,701:2
synth maintenance 00676,2,1,602,,100.0,1.0,0.0,602:2
synth service 00266,2,1,411,,100.0,1.0,0.0,411:2
synth transport 01070,1,1,401,,100.0,1.0,0.0,401:1
synth raw material 00672,3,1,635,,100.0,1.0,0.0,635:3
synth office 00475,4,1,628,,100.0,1.0,0.0,628:4
synth maintenance 00686,2,1,625,,100.0,1.0,0.0,625:2
synth utility 00921,1,1,707,,100.0,1.0,0.0,707:1
synth fuel 01031,1,1,601,,100.0,1.0,0.0,601:1
synth retail 00588,1,1,607,,100.0,1.0,0.0,607:1
synth packaging 00235,4,2,635,,75.0,0.75,0.25,635:3;401:1
synth utility 01193,1,1,4427,,100.0,1.0,0.0,4427:1
synth raw material 00458,3,1,701,,100.0,1.0,0.0,701:3
synth raw material 00195,2,1,707,,100.0,1.0,0.0,707:2
synth transport 00754,1,1,601,,100.0,1.0,0.0,601:1
synth fuel 00330,1,1,601,,100.0,1.0,0.0,601:1
synth packaging 01146,1,1,701,,100.0,1.0,0.0,701:1
synth retail 01020,1,1,612,,100.0,1.0,0.0,612:1
synth transport 00704,1,1,613,,100.0,1.0,0.0,613:1
synth packaging 00978,1,1,635,,100.0,1.0,0.0,635:1
synth service 00306,1,1,6022,,100.0,1.0,0.0,6022:1
synth utility 00712,13,1,602,,100.0,1.0,0.0,602:13
synth packaging 00001,5,1,601,,100.0,1.0,0.0,601:5
synth office 01054,11,1,601,,100.0,1.0,0.0,601:11
synth packaging 00044,3,1,6022,,100.0,1.0,0.0,6022:3
synth raw material 00110,14,4,605,,57.14,0.5714,0.4286,605:8;401:4;401:1;622:1
synth service 01095,4,1,635,,100.0,1.0,0.0,635:4
synth service 00653,2,1,401,,100.0,1.0,0.0,401:2
synth packaging 00986,2,1,601,,100.0,1.0,0.0,601:2
synth maintenance 01107,12,1,701,,100.0,1.0,0.0,701:12
synth transport 00149,2,1,609,,100.0,1.0,0.0,609:2
synth office 00574,6,1,605,,100.0,1.0,0.0,605:6
synth service 00153,2,1,4427,,100.0,1.0,0.0,4427:2
synth utility 01067,1,1,704,,100.0,1.0,0.0,704:1
synth transport 00637,1,1,625,,100.0,1.0,0.0,625:1
synth maintenance 00983,15,4,704,,60.0,0.6,0.4,704:9;704:4;411:1;4427:1
synth retail 00170,1,1,635,,100.0,1.0,0.0,635:1
synth packaging 00556,1,1,607,,100.0,1.0,0.0,607:1
synth packaging 00689,31,1,612,,100.0,1.0,0.0,612:31
synth raw material 00105,4,1,613,,100.0,1.0,0.0,613:4
synth utility 00641,6,1,613,,100.0,1.0,0.0,613:6
synth service 00987,2,2,371,,50.0,0.5,0.5,371:1;371:1
synth utility 00823,2,1,625,,100.0,1.0,0.0,625:2
synth fuel 00999,3,1,602,,100.0,1.0,0.0,602:3
synth office 01056,2,1,609,,100.0,1.0,0.0,609:2
synth misc 00857,13,1,4427,,100.0,1.0,0.0,4427:13
synth raw material 00104,8,1,4427,,100.0,1.0,0.0,4427:8
synth maintenance 00507,24,1,704,,100.0,1.0,0.0,704:24
synth service 00222,4,1,411,,100.0,1.0,0.0,411:4
synth fuel 00733,1,1,601,,100.0,1.0,0.0,601:1
synth packaging 00348,7,2,701,,71.43,0.7143,0.2857,701:5;4427:2
synth maintenance 00082,2,1,609,,100.0,1.0,0.0,609:2
synth retail 00838,3,1,4426,,100.0,1.0,0.0,4426:3
synth transport 00285,2,1,704,,100.0,1.0,0.0,704:2
synth service 00142,2,1,601,,100.0,1.0,0.0,601:2
synth packaging 00522,1,1,601,,100.0,1.0,0.0,601:1
synth transport 00516,6,1,605,,100.0,1.0,0.0,605:6
synth office 00308,3,1,605,,100.0,1.0,0.0,605:3
synth transport 00199,3,2,411,,66.67,0.6667,0.3333,411:2;701:1
synth maintenance 00093,1,1,401,,100.0,1.0,0.0,401:1
synth misc 00242,1,1,371,,100.0,1.0,0.0,371:1
synth misc 00730,1,1,704,,100.0,1.0,0.0,704:1
synth raw material 00873,1,1,411,,100.0,1.0,0.0,411:1
synth fuel 00139,2,1,704,,100.0,1.0,0.0,704:2
synth packaging 00178,2,1,401,,100.0,1.0,0.0,401:2
synth utility 00083,1,1,625,,100.0,1.0,0.0,625:1
synth office 01014,2,1,411,,100.0,1.0,0.0,411:2
synth raw material 00025,3,1,704,,100.0,1.0,0.0,704:3
synth retail 00940,10,1,628,,100.0,1.0,0.0,628:10
synth packaging 00501,2,1,411,,100.0,1.0,0.0,411:2
synth service 00358,1,1,704,,100.0,1.0,0.0,704:1
synth office 00894,7,2,4427,,71.43,0.7143,0.2857,4427:5;4427:2
synth retail 00519,5,1,601,,100.0,1.0,0.0,601:5
synth packaging 00483,1,1,609,,100.0,1.0,0.0,609:1
synth office 00624,1,1,601,,100.0,1.0,0.0,601:1
synth raw material 01005,2,1,371,,100.0,1.0,0.0,371:2
synth fuel 00465,5,1,6022,,100.0,1.0,0.0,6022:5
synth raw material 00923,1,1,701,,100.0,1.0,0.0,701:1
synth maintenance 00141,2,1,602,,100.0,1.0,0.0,602:2
synth service 00714,1,1,612,,100.0,1.0,0.0,612:1
synth packaging 00628,3,1,4427,,100.0,1.0,0.0,4427:3
synth maintenance 00086,48,1,613,,100.0,1.0,0.0,613:48
synth utility 01185,1,1,602,,100.0,1.0,0.0,602:1
synth transport 01009,7,1,607,,100.0,1.0,0.0,607:7
synth utility 00008,5,1,704,,100.0,1.0,0.0,704:5
synth maintenance 00065,10,1,602,,100.0,1.0,0.0,602:10
synth service 00002,5,1,628,,100.0,1.0,0.0,628:5
synth fuel 01183,5,2,612,,60.0,0.6,0.4,612:3;612:2
synth raw material 00424,2,1,609,,100.0,1.0,0.0,609:2
synth raw material 01100,3,1,622,,100.0,1.0,0.0,622:3
synth office 00690,1,1,622,,100.0,1.0,0.0,622:1
synth packaging 00376,4,1,707,,100.0,1.0,0.0,707:4
synth packaging 00831,5,1,625,,100.0,1.0,0.0,625:5
synth maintenance 00506,3,1,6022,,100.0,1.0,0.0,6022:3
synth misc 00456,4,1,4426,,100.0,1.0,0.0,4426:4
synth misc 00863,13,1,371,,100.0,1.0,0.0,371:13
synth fuel 00013,6,1,613,,100.0,1.0,0.0,613:6
synth packaging 01050,10,1,602,,100.0,1.0,0.0,602:10
synth packaging 00367,2,1,613,,100.0,1.0,0.0,613:2
synth maintenance 00695,4,1,4426,,100.0,1.0,0.0,4426:4
synth maintenance 00347,2,1,411,,100.0,1.0,0.0,411:2
synth utility 00671,4,1,605,,100.0,1.0,0.0,605:4
synth fuel 00176,2,1,608,,100.0,1.0,0.0,608:2
synth transport 00238,2,1,602,,100.0,1.0,0.0,602:2
synth retail 00924,3,1,635,,100.0,1.0,0.0,635:3
synth office 00289,1,1,608,,100.0,1.0,0.0,608:1
synth office 00290,20,1,609,,100.0,1.0,0.0,609:20
synth packaging 00674,6,1,371,,100.0,1.0,0.0,371:6
synth utility 00455,12,1,601,,100.0,1.0,0.0,601:12
synth fuel 00219,7,1,601,,100.0,1.0,0.0,601:7
synth utility 00631,3,1,601,,100.0,1.0,0.0,601:3
synth raw material 00915,1,1,628,,100.0,1.0,0.0,628:1
synth service 01138,14,2,609,,92.86,0.9286,0.0714,609:13;607:1
synth retail 00813,2,1,602,,100.0,1.0,0.0,602:2
synth misc 00395,1,1,608,,100.0,1.0,0.0,608:1
synth retail 01160,4,1,704,,100.0,1.0,0.0,704:4
synth service 01112,9,1,701,,100.0,1.0,0.0,701:9
synth fuel 00989,1,1,607,,100.0,1.0,0.0,607:1
synth misc 00600,5,1,605,,100.0,1.0,0.0,605:5
synth utility 00256,2,1,609,,100.0,1.0,0.0,609:2
synth office 00102,1,1,6022,,100.0,1.0,0.0,6022:1
synth utility 00489,4,1,4427,,100.0,1.0,0.0,4427:4
synth transport 00411,1,1,4427,,100.0,1.0,0.0,4427:1
synth office 00972,1,1,411,,100.0,1.0,0.0,411:1
synth office 00252,1,1,4426,,100.0,1.0,0.0,4426:1
synth misc 01187,1,1,4426,,100.0,1.0,0.0,4426:1
synth utility 00383,22,1,704,,100.0,1.0,0.0,704:22
synth raw material 00188,25,1,704,,100.0,1.0,0.0,704:25
synth maintenance 00870,15,1,6022,,100.0,1.0,0.0,6022:15
synth misc 01104,15,1,607,,100.0,1.0,0.0,607:15
synth maintenance 00521,4,1,411,,100.0,1.0,0.0,411:4
synth retail 00720,4,1,625,,100.0,1.0,0.0,625:4
synth transport 00230,2,1,625,,100.0,1.0,0.0,625:2
synth fuel 00277,4,1,707,,100.0,1.0,0.0,707:4
synth transport 01149,4,1,371,,100.0,1.0,0.0,371:4
synth maintenance 01154,10,1,371,,100.0,1.0,0.0,371:10
synth misc 00681,7,1,625,,100.0,1.0,0.0,625:7
synth raw material 00245,4,1,4426,,100.0,1.0,0.0,4426:4
synth misc 00584,8,1,605,,100.0,1.0,0.0,605:8
synth utility 00553,2,1,625,,100.0,1.0,0.0,625:2
synth service 00034,1,1,371,,100.0,1.0,0.0,371:1
synth office 00673,1,1,4426,,100.0,1.0,0.0,4426:1
synth raw material 00446,7,1,608,,100.0,1.0,0.0,608:7
synth retail 00012,2,1,601,,100.0,1.0,0.0,601:2
synth office 00532,2,1,613,,100.0,1.0,0.0,613:2
synth fuel 00240,2,1,601,,100.0,1.0,0.0,601:2
synth transport 00901,14,1,601,,100.0,1.0,0.0,601:14
synth packaging 00976,1,1,601,,100.0,1.0,0.0,601:1
synth office 00066,2,1,635,,100.0,1.0,0.0,635:2
synth misc 00941,8,1,411,,100.0,1.0,0.0,411:8
synth packaging 00040,17,1,4427,,100.0,1.0,0.0,4427:17
synth transport 00097,3,1,625,,100.0,1.0,0.0,625:3
synth raw material 01001,2,1,607,,100.0,1.0,0.0,607:2
synth utility 01036,5,1,628,,100.0,1.0,0.0,628:5
synth maintenance 00550,2,1,608,,100.0,1.0,0.0,608:2
synth office 00929,1,1,635,,100.0,1.0,0.0,635:1
synth service 00388,2,1,609,,100.0,1.0,0.0,609:2
synth transport 01170,1,1,605,,100.0,1.0,0.0,605:1
synth packaging 00258,5,1,4426,,100.0,1.0,0.0,4426:5
synth packaging 00711,23,1,704,,100.0,1.0,0.0,704:23
synth transport 00059,7,3,701,,71.43,0.7143,0.2857,701:5;4427:1;411:1
synth utility 00563,20,1,613,,100.0,1.0,0.0,613:20
synth retail 00611,6,2,635,,83.33,0.8333,0.1667,635:5;635:1
synth utility 01177,19,1,625,,100.0,1.0,0.0,625:19
synth service 00418,6,1,622,,100.0,1.0,0.0,622:6
synth misc 00179,6,1,701,,100.0,1.0,0.0,701:6
synth packaging 00518,10,1,701,,100.0,1.0,0.0,701:10
synth utility 00166,23,1,622,,100.0,1.0,0.0,622:23
synth misc 00693,1,1,625,,100.0,1.0,0.0,625:1
synth utility 00120,1,1,401,,100.0,1.0,0.0,401:1
synth fuel 00634,1,1,601,,100.0,1.0,0.0,601:1
synth fuel 00897,1,1,371,,100.0,1.0,0.0,371:1
synth raw material 00582,2,1,622,,100.0,1.0,0.0,622:2
synth service 00949,1,1,601,,100.0,1.0,0.0,601:1
synth transport 00152,1,1,625,,100.0,1.0,0.0,625:1
synth raw material 00988,1,1,6022,,100.0,1.0,0.0,6022:1
synth office 01043,1,1,622,,100.0,1.0,0.0,622:1
synth misc 00236,9,1,411,,100.0,1.0,0.0,411:9
synth raw material 00903,2,1,701,,100.0,1.0,0.0,701:2
synth packaging 00887,2,1,6022,,100.0,1.0,0.0,6022:2
synth raw material 00403,4,1,609,,100.0,1.0,0.0,609:4
synth misc 00113,5,1,371,,100.0,1.0,0.0,371:5
synth office 00121,1,1,607,,100.0,1.0,0.0,607:1
synth office 00184,2,1,401,,100.0,1.0,0.0,401:2
synth raw material 00827,1,1,607,,100.0,1.0,0.0,607:1
synth misc 00088,1,1,605,,100.0,1.0,0.0,605:1
synth office 00156,1,1,601,,100.0,1.0,0.0,601:1
synth retail 00078,3,1,602,,100.0,1.0,0.0,602:3
synth retail 00526,12,1,608,,100.0,1.0,0.0,608:12
synth raw material 00969,1,1,605,,100.0,1.0,0.0,605:1
synth misc 00936,1,1,6022,,100.0,1.0,0.0,6022:1
synth fuel 00426,3,1,707,,100.0,1.0,0.0,707:3
synth maintenance 00828,3,1,4427,,100.0,1.0,0.0,4427:3
synth raw material 00536,1,1,602,,100.0,1.0,0.0,602:1
synth packaging 00459,1,1,605,,100.0,1.0,0.0,605:1
synth misc 00751,1,1,608,,100.0,1.0,0.0,608:1
synth retail 01078,1,1,707,,100.0,1.0,0.0,707:1
synth fuel 00557,2,1,401,,100.0,1.0,0.0,401:2
synth raw material 01064,1,1,4427,,100.0,1.0,0.0,4427:1
synth utility 01119,7,3,704,,57.14,0.5714,0.4286,704:4;701:2;701:1
synth misc 00298,1,1,701,,100.0,1.0,0.0,701:1
synth misc 00106,1,1,608,,100.0,1.0,0.0,608:1
synth fuel 00992,2,1,371,,100.0,1.0,0.0,371:2
synth retail 00431,1,1,601,,100.0,1.0,0.0,601:1
synth service 00015,1,1,607,,100.0,1.0,0.0,607:1
synth fuel 00514,1,1,628,,100.0,1.0,0.0,628:1
synth office 00020,1,1,371,,100.0,1.0,0.0,371:1
synth service 00394,1,1,622,,100.0,1.0,0.0,622:1
synth service 00575,1,1,602,,100.0,1.0,0.0,602:1
synth maintenance 00562,3,1,601,,100.0,1.0,0.0,601:3
synth packaging 00419,14,1,4426,,100.0,1.0,0.0,4426:14
synth utility 00786,9,1,601,,100.0,1.0,0.0,601:9
synth office 00440,12,1,602,,100.0,1.0,0.0,602:12
synth office 00687,24,1,704,,100.0,1.0,0.0,704:24
synth office 01065,10,1,607,,100.0,1.0,0.0,607:10
synth raw material 00586,31,1,707,,100.0,1.0,0.0,707:31
synth retail 00041,4,1,608,,100.0,1.0,0.0,608:4
synth raw material 00071,13,1,609,,100.0,1.0,0.0,609:13
synth packaging 00958,5,1,605,,100.0,1.0,0.0,605:5
synth service 01068,2,1,628,,100.0,1.0,0.0,628:2
synth utility 00218,5,2,401,,80.0,0.8,0.2,401:4;635:1
synth utility 01125,3,1,605,,100.0,1.0,0.0,605:3
synth fuel 01153,5,1,4426,,100.0,1.0,0.0,4426:5
synth retail 00387,4,1,4426,,100.0,1.0,0.0,4426:4
synth maintenance 00496,1,1,625,,100.0,1.0,0.0,625:1
synth service 00942,73,1,628,,100.0,1.0,0.0,628:73
synth misc 00665,1,1,602,,100.0,1.0,0.0,602:1
synth utility 01137,51,1,4427,,100.0,1.0,0.0,4427:51
synth office 00422,3,1,704,,100.0,1.0,0.0,704:3
synth transport 00175,13,1,411,,100.0,1.0,0.0,411:13
synth fuel 00621,14,1,701,,100.0,1.0,0.0,701:14
synth maintenance 00938,16,1,635,,100.0,1.0,0.0,635:16
synth raw material 00848,47,1,607,,100.0,1.0,0.0,607:47
synth maintenance 00608,7,1,607,,100.0,1.0,0.0,607:7
synth service 00224,5,1,612,,100.0,1.0,0.0,612:5
synth packaging 01117,7,1,625,,100.0,1.0,0.0,625:7
synth raw material 00925,5,1,628,,100.0,1.0,0.0,628:5
synth retail 00318,1,1,707,,100.0,1.0,0.0,707:1
synth fuel 01017,3,1,602,,100.0,1.0,0.0,602:3
synth maintenance 00223,2,1,701,,100.0,1.0,0.0,701:2
synth misc 00103,1,1,411,,100.0,1.0,0.0,411:1
synth office 00155,9,1,625,,100.0,1.0,0.0,625:9
synth maintenance 00639,3,1,635,,100.0,1.0,0.0,635:3
synth maintenance 00373,3,2,612,,66.67,0.6667,0.3333,612:2;607:1
synth utility 00310,2,1,607,,100.0,1.0,0.0,607:2
synth service 00797,2,1,6022,,100.0,1.0,0.0,6022:2
synth service 00370,1,1,401,,100.0,1.0,0.0,401:1
synth packaging 01063,1,1,401,,100.0,1.0,0.0,401:1
synth fuel 00544,1,1,622,,100.0,1.0,0.0,622:1
synth packaging 00442,1,1,609,,100.0,1.0,0.0,609:1
synth office 00718,1,1,608,,100.0,1.0,0.0,608:1
synth fuel 00203,1,1,607,,100.0,1.0,0.0,607:1
synth utility 01120,1,1,607,,100.0,1.0,0.0,607:1
synth utility 00709,1,1,608,,100.0,1.0,0.0,608:1
synth packaging 00324,1,1,622,,100.0,1.0,0.0,622:1
synth maintenance 00576,2,1,605,,100.0,1.0,0.0,605:2
synth retail 00626,4,1,607,,100.0,1.0,0.0,607:4
synth fuel 00375,1,1,602,,100.0,1.0,0.0,602:1
synth fuel 01108,2,1,605,,100.0,1.0,0.0,605:2
synth service 00836,1,1,602,,100.0,1.0,0.0,602:1
synth retail 00466,2,1,401,,100.0,1.0,0.0,401:2
synth retail 00917,10,2,613,,60.0,0.6,0.4,613:6;401:4
synth fuel 00415,4,1,704,,100.0,1.0,0.0,704:4
synth retail 00081,1,1,704,,100.0,1.0,0.0,704:1
synth maintenance 00662,1,1,411,,100.0,1.0,0.0,411:1
synth retail 00250,3,1,601,,100.0,1.0,0.0,601:3
synth transport 00095,4,1,701,,100.0,1.0,0.0,701:4
synth retail 00213,3,1,613,,100.0,1.0,0.0,613:3
synth office 00067,2,1,612,,100.0,1.0,0.0,612:2
synth retail 00200,1,1,371,,100.0,1.0,0.0,371:1
synth maintenance 00578,1,1,602,,100.0,1.0,0.0,602:1
synth retail 01176,4,1,4427,,100.0,1.0,0.0,4427:4
synth service 00998,1,1,612,,100.0,1.0,0.0,612:1
synth transport 00967,2,1,601,,100.0,1.0,0.0,601:2
synth fuel 00249,1,1,605,,100.0,1.0,0.0,605:1
synth retail 00683,2,2,625,,50.0,0.5,0.5,625:1;401:1
synth transport 01094,3,1,625,,100.0,1.0,0.0,625:3
synth utility 01098,1,1,602,,100.0,1.0,0.0,602:1
synth fuel 00270,1,1,707,,100.0,1.0,0.0,707:1
synth packaging 01025,6,1,4427,,100.0,1.0,0.0,4427:6
synth office 00026,5,1,707,,100.0,1.0,0.0,707:5
synth office 00779,2,1,635,,100.0,1.0,0.0,635:2
synth retail 00979,6,1,601,,100.0,1.0,0.0,601:6
synth raw material 00436,2,1,704,,100.0,1.0,0.0,704:2
synth maintenance 00866,2,1,701,,100.0,1.0,0.0,701:2
synth retail 00890,1,1,622,,100.0,1.0,0.0,622:1
synth utility 01037,1,1,704,,100.0,1.0,0.0,704:1
synth fuel 00261,3,1,4427,,100.0,1.0,0.0,4427:3
synth maintenance 00951,1,1,601,,100.0,1.0,0.0,601:1
synth maintenance 00151,4,1,6022,,100.0,1.0,0.0,6022:4
synth transport 00443,3,1,612,,100.0,1.0,0.0,612:3
synth misc 00572,10,1,601,,100.0,1.0,0.0,601:10
synth misc 00780,13,1,411,,100.0,1.0,0.0,411:13
synth packaging 00309,3,1,411,,100.0,1.0,0.0,411:3
synth utility 00669,7,1,707,,100.0,1.0,0.0,707:7
synth maintenance 01163,3,1,622,,100.0,1.0,0.0,622:3
synth transport 00485,1,1,609,,100.0,1.0,0.0,609:1
synth raw material 00910,2,1,605,,100.0,1.0,0.0,605:2
synth service 00312,2,1,635,,100.0,1.0,0.0,635:2
synth misc 00765,1,1,401,,100.0,1.0,0.0,401:1
synth misc 00993,3,1,4427,,100.0,1.0,0.0,4427:3
synth fuel 00716,19,1,601,,100.0,1.0,0.0,601:19
synth office 00127,5,1,612,,100.0,1.0,0.0,612:5
synth misc 00264,5,1,4426,,100.0,1.0,0.0,4426:5
synth retail 00331,3,1,613,,100.0,1.0,0.0,613:3
synth packaging 00468,5,1,613,,100.0,1.0,0.0,613:5
synth transport 00297,2,1,707,,100.0,1.0,0.0,707:2
synth raw material 01089,2,1,613,,100.0,1.0,0.0,613:2
synth fuel 00566,3,1,707,,100.0,1.0,0.0,707:3
synth raw material 01007,2,1,628,,100.0,1.0,0.0,628:2
synth utility 00580,1,1,613,,100.0,1.0,0.0,613:1
synth office 00996,2,1,628,,100.0,1.0,0.0,628:2
synth packaging 01145,1,1,704,,100.0,1.0,0.0,704:1
synth fuel 00382,3,1,701,,100.0,1.0,0.0,701:3
synth office 00050,3,1,704,,100.0,1.0,0.0,704:3
synth office 01091,40,1,605,,100.0,1.0,0.0,605:40
